REEF,data,variableName,Month,Year
Barnards,0.087890625,Kd_490_MIM_median,11,2005
Barnards,0.6432292,Nap_MIM_median,12,2005
Barnards,0.04264323,CDOM_MIM_median,12,2005
Barnards,0.3751085,Chl_MIM_median,12,2005
Barnards,0.09309896,Kd_490_MIM_median,12,2005
Barnards,0.6432292,Nap_MIM_median,12,2005
Barnards,0.04264323,CDOM_MIM_median,12,2005
Barnards,0.3751085,Chl_MIM_median,12,2005
Barnards,0.09309896,Kd_490_MIM_median,12,2005
Barnards,0.6432292,Nap_MIM_median,12,2005
Barnards,0.04264323,CDOM_MIM_median,12,2005
Barnards,0.3751085,Chl_MIM_median,12,2005
Barnards,0.09309896,Kd_490_MIM_median,12,2005
Barnards,0.6230469,Nap_MIM_median,1,2006
Barnards,0.0483941,CDOM_MIM_median,1,2006
Barnards,0.33311632,Chl_MIM_median,1,2006
Barnards,0.08843316,Kd_490_MIM_median,1,2006
Barnards,0.6230469,Nap_MIM_median,1,2006
Barnards,0.0483941,CDOM_MIM_median,1,2006
Barnards,0.33311632,Chl_MIM_median,1,2006
Barnards,0.08843316,Kd_490_MIM_median,1,2006
Barnards,0.6230469,Nap_MIM_median,1,2006
Barnards,0.0483941,CDOM_MIM_median,1,2006
Barnards,0.33311632,Chl_MIM_median,1,2006
Barnards,0.08843316,Kd_490_MIM_median,1,2006
Barnards,0.3267144,Nap_MIM_median,2,2006
Barnards,0.055989582,CDOM_MIM_median,2,2006
Barnards,0.47992623,Chl_MIM_median,2,2006
